lat,lon,neighborhood,rooms,bedrooms,bathrooms,surface_covered,ars_price,ars_m2
-34.60998,-58.4018949,Balvanera,3,2,2,67,7475000,111567
-34.6279628,-58.443077,Caballito,3,2,1,105,20800000,198095
-34.624553000000006,-58.449121999999996,Caballito,3,2,1,52,9685000,186250
-34.6086373,-58.4390616,Caballito,3,2,1,80,10270000,128375
-34.61781,-58.447084999999994,Caballito,3,2,1,57,10075000,176754
-34.620852,-58.429207999999996,Caballito,3,2,2,86,20377500,236947
-34.6062969758,-58.4289443042,Caballito,3,2,2,67,8255000,123208
-34.6477882,-58.5003913,Mataderos,3,2,1,50,9750000,195000
-34.574388299999995,-58.44872779999999,Colegiales,3,2,3,77,23517715,305424
-34.6026461,-58.3851535,Tribunales,4,2,2,100,13975000,139750
-34.5812076898,-58.420881208599994,Barrio Norte,3,2,2,65,11830000,182000
-34.597076,-58.40805,Barrio Norte,3,2,1,72,16835000,233819
-34.599143299999994,-58.3782185,San Nicolás,3,2,1,63,11050000,175396
-34.608809,-58.390620999999996,San Nicolás,3,2,2,84,11050000,131547
-34.604069,-58.39525,San Nicolás,3,2,1,122,14950000,122540
-34.59604229999999,-58.444482799999996,Villa Crespo,3,2,2,86,14300000,166279
-34.6067649977,-58.4289443042,Villa Crespo,3,2,2,67,8255000,123208
-34.593666999999996,-58.445276,Villa Crespo,3,2,1,45,8775000,195000
-34.604091,-58.437571,Villa Crespo,3,2,1,60,9665500,161091
-34.601075,-58.446371,Villa Crespo,3,2,1,58,9100000,156896
-34.599294,-58.448265,Villa Crespo,3,2,1,71,12675000,178521
-34.60305,-58.43784,Villa Crespo,3,2,1,61,9100000,149180
-34.626882,-58.38609,Constitución,3,2,1,50,6493500,129870
-34.612628,-58.363067,Puerto Madero,3,2,2,90,29900000,332222
-34.6178654,-58.36086829999999,Puerto Madero,3,2,3,129,48750000,377906
-34.6132815,-58.3624946,Puerto Madero,3,2,2,120,46800000,390000
-34.57111679999999,-58.4808346,Villa Urquiza,3,2,2,65,14625000,225000
-34.580653000000005,-58.48188199999999,Villa Urquiza,3,2,2,64,24310000,379843
-34.5677878,-58.475779,Villa Urquiza,3,2,1,54,11700000,216666
-34.6057793557,-58.4289152653,Parque Centenario,3,2,2,67,8255000,123208
-34.606830200000005,-58.434955599999995,Parque Centenario,3,2,1,57,8450000,148245
-34.628217,-58.456751000000004,Flores,4,3,1,97,14300000,147422
-34.547265,-58.46949300000001,Nuñez,4,3,1,78,17485000,224166
-34.5490734,-58.44852660000001,Nuñez,4,3,2,80,26325000,329062
-34.6030907,-58.4155199,Almagro,4,3,2,185,25350000,137027
-34.608228600000004,-58.4156843,Almagro,4,3,2,124,14300000,115322
-34.5655597,-58.4767123,Coghlan,4,3,1,78,17225000,220833
-34.5892282,-58.424017299999996,Palermo,4,3,3,142,25675000,180809
-34.568385,-58.430898,Palermo,4,3,2,156,28275000,181250
-34.58274801638354,-58.42408525845831,Palermo,4,3,3,90,20800000,231111
-34.574207,-58.437037,Palermo,4,3,2,125,29900000,239200
-34.58274801638354,-58.42408525845831,Palermo,4,3,1,64,15080000,235625
-34.580717299999996,-58.41320160000001,Palermo,5,3,5,200,91000000,455000
-34.58274801638354,-58.42408525845831,Palermo,4,3,3,134,44047965,328716
-34.628229,-58.37204499999999,Barracas,4,3,2,77,9295000,120714
-34.6481452,-58.3730938,Barracas,4,3,2,98,18200000,185714
-34.5617089,-58.45155450000001,Belgrano,4,3,3,160,38350000,239687
-34.573043,-58.467757999999996,Belgrano,4,3,3,196,88484825,451453
-34.559967,-58.452771,Belgrano,4,3,3,152,40950000,269407
-34.5675041,-58.458643,Belgrano,4,3,2,105,30875000,294047
-34.562244899999996,-58.452085200000006,Belgrano,4,3,2,114,34060000,298771
-34.587382500000004,-58.3972762,Recoleta,4,3,2,140,14950000,106785
-34.5952101,-58.3915563,Recoleta,5,3,2,137,32370000,236277
-34.595028000000006,-58.388435,Recoleta,4,3,2,156,35750000,229166
-34.5956930276,-58.3852614729,Recoleta,5,3,2,131,24050000,183587
-34.594529,-58.409277,Recoleta,4,3,2,147,23400000,159183
-34.6060411,-58.39897,Balvanera,4,3,2,115,11700000,101739
-34.6136411,-58.4069098,Balvanera,4,3,1,54,9295000,172129
-34.620933,-58.438348,Caballito,4,3,2,92,15925000,173097
-34.6283185,-58.4533007,Caballito,4,3,1,94,17550000,186702
-34.6181745,-58.43133910000001,Caballito,4,3,4,118,19435000,164703
-34.60094,-58.38598199999999,San Nicolás,9,3,2,230,44200000,192173
-34.685299,-58.465729,Villa Lugano,4,3,2,70,6175000,88214
-34.610046000000004,-58.36138199999999,Puerto Madero,4,3,3,205,103350000,504146
-34.581577,-58.47385799999999,Villa Ortuzar,3,2,2,78,15275000,195833
-34.571486,-58.480208999999995,Villa Urquiza,4,3,1,73,14235000,195000
-34.5773401863,-58.403845238100004,Palermo,5,4,3,365,96200000,263561
-34.566921,-58.440966,Belgrano,5,4,1,85,14625000,172058
-34.5617089,-58.45155450000001,Belgrano,5,4,3,160,38350000,239687
-34.56304306194158,-58.452525346078794,Belgrano,5,4,2,117,17485000,149444
-34.5957109,-58.39261679999999,Recoleta,7,4,2,220,31525000,143295
-34.568978063976985,-58.43429629374218,Las Cañitas,5,4,3,330,227500000,689393
-34.591296,-58.395412,Recoleta,10,5,4,400,81250000,203125
-34.606544,-58.4465432,Caballito,1,0,1,35,4460000,127428
-34.62844467,-58.41913223,Boedo,2,1,1,79,11050000,139873
-34.599388894,-58.412039489399994,Abasto,1,0,1,30,6357780,211926
-34.626425700000006,-58.465254200000004,Flores,1,0,1,28,5525000,197321
-34.5496023,-58.458655799999995,Nuñez,2,1,1,40,10075000,251875
-34.5518065,-58.4535615,Nuñez,2,1,1,43,11050000,256976
-34.5942654,-58.38317610000001,Retiro,1,0,1,25,5057000,202280
-34.5963197,-58.378533,Retiro,4,3,3,133,24050000,180827
-34.6167003,-58.427299899999994,Almagro,3,2,2,71,15535000,218802
-34.6086976,-58.4222823,Almagro,3,2,2,76,15275000,200986
-34.56118393,-58.46820831,Coghlan,2,1,2,70,13455000,192214
-34.6542107,-58.524468000000006,Liniers,3,2,2,72,12870000,178750
-34.5855547,-58.4122598,Palermo,4,3,2,150,29250000,195000
-34.58653641,-58.41640854,Palermo,1,0,1,55,19305000,351000
-34.58274801638354,-58.42408525845831,Palermo,2,1,1,52,19500000,375000
-34.5931177,-58.4254549,Palermo,2,1,1,48,13325000,277604
-34.5823801,-58.4057531,Palermo,3,2,2,114,31850000,279385
-34.5904467931,-58.424826925,Palermo,1,0,1,28,6175000,220535
-34.564111,-58.438228,Palermo,4,3,1,73,16900000,231506
-34.5931177,-58.4254549,Palermo,2,1,1,48,12285000,255937
-34.5862984,-58.4385155,Palermo,1,0,1,40,9035000,225875
-34.5962501673,-58.4149563522,Palermo,1,0,1,29,5005000,172586
-34.580349600000005,-58.413095,Palermo,2,1,1,80,30875000,385937
-34.56118393,-58.46820831,Belgrano,2,1,2,70,13455000,192214
-34.56394958,-58.44221497,Belgrano,1,0,1,40,8125000,203125
-34.5679097,-58.4484836,Belgrano,4,3,2,117,17485000,149444
-34.57536697,-58.45851898,Belgrano,2,1,1,37,9035000,244189
-34.5701014,-58.4505257,Belgrano,2,1,1,40,6760000,169000
-34.5653231,-58.46104939999999,Belgrano,2,1,1,40,9412000,235300
-34.5518065,-58.4535615,Belgrano,2,1,1,43,11050000,256976
-34.6193724893,-58.5007028804,Floresta,3,2,2,66,11700000,177272
